State,Year,Salary,Source,Note
Connecticut,12,69465,NEA,
Connecticut,13,69397,NEA,
Connecticut,14,70583,NEA,
Connecticut,15,71709,NEA,est
Connecticut,16,72013,NEA,est
DC,11,57934,NEA,est
DC,12,58800,NEA,est
DC,13,59679,NEA,est
DC,14,59305,NEA,
DC,15,59195,NEA,
DC,16,59085,NEA,est
Delaware,11,66601,NEA,est
Delaware,12,68720,NEA,est
Delaware,13,70906,NEA,est
Delaware,14,73162,NEA,est
Delaware,15,75490,NEA,est
Delaware,16,75810,NEA,est
Florida,11,45732,NEA,
Florida,12,46504,NEA,
Florida,13,46598,NEA,
Florida,14,47780,NEA,
Florida,15,48992,NEA,
Florida,16,49199,NEA,est
Georgia,11,52815,NEA,
Georgia,12,52938,NEA,
Georgia,13,52880,NEA,
Georgia,14,52924,NEA,
Georgia,15,53382,NEA,
Georgia,16,54190,NEA,est
Hawaii,11,55063,NEA,
Hawaii,12,54070,NEA,
Hawaii,13,54300,NEA,
Hawaii,14,56291,NEA,
Hawaii,15,57189,NEA,est
Hawaii,16,57431,NEA,est
Idaho,11,45450,NEA,est
Idaho,12,44435,NEA,
Idaho,13,44669,NEA,
Idaho,14,44465,NEA,
Idaho,15,45218,NEA,
Idaho,16,45409,NEA,est
Illinois,11,64509,NEA,
Illinois,12,57636,NEA,
Illinois,13,59113,NEA,est
Illinois,14,60124,NEA,est
Illinois,15,61083,NEA,est
Illinois,16,61342,NEA,est
Indiana,11,50801,NEA,
Indiana,12,50516,NEA,
Indiana,13,50077,NEA,
Indiana,14,50289,NEA,
Indiana,15,50877,NEA,est
Indiana,16,50715,NEA,est
Iowa,11,49844,NEA,
Iowa,12,50240,NEA,
Iowa,13,50946,NEA,
Iowa,14,52032,NEA,
Iowa,15,53408,NEA,est
Iowa,16,54416,NEA,
Kansas,11,46598,NEA,
Kansas,12,46718,NEA,
Kansas,13,47464,NEA,est
Kansas,14,48221,NEA,est
Kansas,15,48990,NEA,est
Kansas,16,49197,NEA,est
Kentucky,11,48908,NEA,
Kentucky,12,49730,NEA,
Kentucky,13,50203,NEA,
Kentucky,14,50560,NEA,
Kentucky,15,51155,NEA,est
Kentucky,16,51666,NEA,est
Louisiana,11,49006,NEA,
Louisiana,12,50179,NEA,est
Louisiana,13,51381,NEA,est
Louisiana,14,49067,NEA,
Louisiana,15,47886,NEA,
Louisiana,16,46733,NEA,est
Maine,11,47249,NEA,
Maine,12,47338,NEA,
Maine,13,48430,NEA,
Maine,14,49232,NEA,
Maine,15,50017,NEA,est
Maine,16,50229,NEA,est
Maryland,11,63960,NEA,
Maryland,12,63634,NEA,
Maryland,13,64248,NEA,
Maryland,14,64546,NEA,
Maryland,15,65477,NEA,est
Maryland,16,66482,NEA,est
Massachusetts,11,70340,NEA,
Massachusetts,12,70474,NEA,
Massachusetts,13,71983,NEA,est
Massachusetts,14,73847,NEA,est
Massachusetts,15,75398,NEA,est
Massachusetts,16,76981,NEA,est
Michigan,11,61560,NEA,
Michigan,12,61560,NEA,est
Michigan,13,62452,NEA,est
Michigan,14,62166,NEA,est
Michigan,15,63856,NEA,est
Michigan,16,63878,NEA,est
Minnesota,11,53680,NEA,
Minnesota,12,53659,NEA,est
Minnesota,13,54945,NEA,est
Minnesota,14,54752,NEA,
Minnesota,15,56670,NEA,
Minnesota,16,56910,NEA,est
Mississippi,11,41975,NEA,
Mississippi,12,41976,NEA,
Mississippi,13,41814,NEA,
Mississippi,14,42187,NEA,est
Mississippi,15,42564,NEA,est
Mississippi,16,42744,NEA,est
Missouri,11,45321,NEA,
Missouri,12,45715,NEA,est
Missouri,13,46226,NEA,est
Missouri,14,46752,NEA,est
Missouri,15,47409,NEA,est
Missouri,16,47849,NEA,est
Montana,11,47132,NEA,est
Montana,12,47839,NEA,
Montana,13,48855,NEA,
Montana,14,49893,NEA,est
Montana,15,50670,NEA,est
Montana,16,51215,NEA,est
Nebraska,11,47965,NEA,
Nebraska,12,47984,NEA,
Nebraska,13,48842,NEA,
