LEAID,AGCHRT,SHYEAR,LAT,LON
634740,2,2002-03,37.0843,-122.0742
634800,2,2002-03,35.2796,-120.6495
634880,2,2004-05,33.1423,-117.1657
635010,2,2012-13,35.7556,-120.697
635250,2,2002-03,36.7059,-119.5645
635310,2,2002-03,33.7426,-117.8467
635430,2,2009-10,37.3562,-121.9958
635600,2,2002-03,36.9918,-121.9596
635670,2,2006-07,34.9128,-120.454
635700,2,2002-03,34.022,-118.4795
635810,2,2002-03,38.4493,-122.7232
635830,2,2002-03,38.4493,-122.7232
636000,2,2002-03,37.8726,-122.5136
636180,2,2002-03,38.4009,-122.831
636330,2,2011-12,35.601,-119.509
636390,2,2006-07,37.4821,-122.236
636420,2,2009-10,40.3822,-120.3825
636600,2,2002-03,40.5874,-122.4043
636660,2,2010-11,37.6089,-121.1152
636805,2,2002-03,37.0368,-119.5214
636940,2,2004-05,41.3213,-122.3061
636970,2,2002-03,34.419,-117.573
636972,2,2002-03,34.5308,-117.3063
637140,2,2003-04,34.2589,-118.9976
637200,2,2002-03,38.3128,-122.4929
637350,2,2005-06,40.7345,-124.2074
637380,2,2010-11,32.5802,-117.1205
637680,2,2002-03,33.0964,-116.646
638010,2,2002-03,37.9591,-121.2957
638040,2,2010-11,36.4842,-119.2235
638280,2,2002-03,37.9614,-120.2558
638640,2,2002-03,32.61,-117.0767
638670,2,2009-10,37.689,-120.9857
638770,2,2002-03,39.3261,-120.2139
638880,2,2012-13,35.1296,-118.4464
640230,2,2002-03,38.3883,-122.8507
640300,2,2002-03,39.1599,-123.209
640380,2,2002-03,39.2063,-121.0362
640590,2,2002-03,38.3648,-121.9528
640710,2,2004-05,33.4131,-117.1487
640740,2,2002-03,38.1062,-122.2795
641040,2,2002-03,34.4734,-117.2986
641160,2,2002-03,36.3239,-119.3467
641190,2,2002-03,33.226,-117.2224
641580,2,2007-08,38.5776,-121.5315
642000,2,2002-03,34.0648,-117.9493
642060,2,2002-03,36.6933,-119.8541
642140,2,2002-03,38.8932,-121.2921
642210,2,2009-10,36.399,-120.1431
642300,2,2002-03,40.2755,-121.0907
642330,2,2002-03,39.0137,-121.4193
642350,2,2002-03,39.0078,-121.431
642510,2,2002-03,34.4106,-118.5091
642560,2,2002-03,39.4002,-123.3597
642990,2,2009-10,33.908,-118.3787
643080,2,2010-11,38.6764,-121.7671
643200,2,2009-10,38.4191,-122.7758
643470,2,2002-03,39.1339,-121.6334
643560,2,2006-07,34.0217,-117.0475
691002,2,2002-03,39.5122,-121.5564
691003,2,2003-04,38.0808,-120.5552
691005,2,2006-07,37.9353,-122.0698
691006,2,2002-03,38.722,-120.8668
691007,2,2002-03,36.7364,-119.7913
691008,2,2003-04,39.516,-122.2098
691009,2,2006-07,40.8015,-124.1494
691010,2,2005-06,32.7501,-115.5632
691011,2,2009-10,36.7984,-118.1949
691012,2,2002-03,35.3743,-119.0165
691017,2,2002-03,36.9426,-120.0546
691018,2,2002-03,38.0136,-122.5501
691020,2,2004-05,37.2972,-120.4885
691021,2,2002-03,36.6533,-121.6384
691023,2,2002-03,39.2478,-121.0294
691024,2,2012-13,33.6735,-117.8809
691025,2,2012-13,38.9068,-121.0824
691026,2,2002-03,33.9784,-117.3806
691027,2,2007-08,38.5662,-121.2992
691029,2,2007-08,34.1105,-117.2938
691030,2,2002-03,32.7715,-117.1793
691031,2,2002-03,37.9052,-121.2301
691032,2,2003-04,35.3366,-120.7423
691033,2,2004-05,37.5258,-122.263
691035,2,2004-05,37.3837,-121.9
691036,2,2002-03,36.9881,-122.0389
691037,2,2005-06,40.5801,-122.4015
691038,2,2009-10,41.7294,-122.6431
691041,2,2002-03,37.6395,-120.9967
691043,2,2006-07,40.1784,-122.2457
691045,2,2002-03,36.3282,-119.3204
691046,2,2010-11,37.9785,-120.3908
691047,2,2004-05,34.2145,-118.9994
691048,2,2002-03,39.1501,-121.5985
691049,2,2011-12,38.6956,-121.7573
691051,2,2004-05,37.6581,-122.0978
691052,2,2002-03,38.2574,-119.2286
691063,2,2002-03,41.7728,-124.2061
691078,2,2002-03,33.9159,-118.1287
801920,2,2002-03,38.9538,-104.7906
801950,2,2004-05,39.8055,-104.928
802280,2,2002-03,39.1912,-106.8476
802340,2,2002-03,39.7191,-104.8051
802430,2,2004-05,39.7608,-104.4254
802490,2,2002-03,40.0131,-105.2002
802580,2,2002-03,39.9869,-104.7692
802730,2,2002-03,39.034,-104.3014
802790,2,2002-03,38.4461,-105.2292
802910,2,2002-03,39.6295,-104.8852
802940,2,2002-03,38.8071,-104.836
803000,2,2006-07,39.739,-105.5237
803060,2,2002-03,38.8491,-104.8124
803090,2,2002-03,37.3529,-108.5878
803330,2,2013-14,38.7648,-107.9761
803360,2,2002-03,39.7308,-104.9832
803450,2,2002-03,39.3793,-104.8693
803480,2,2002-03,37.2762,-107.8776
803540,2,2002-03,39.6635,-106.8162
803720,2,2002-03,39.3568,-104.5989
803840,2,2002-03,39.2242,-105.9993
803870,2,2004-05,38.9417,-104.6256
803990,2,2002-03,40.5893,-105.1223
804260,2,2002-03,39.539,-107.3251
804320,2,2002-03,40.0932,-105.9411
804350,2,2004-05,39.0701,-108.5397
804410,2,2002-03,40.4217,-104.6926
804470,2,2002-03,38.5526,-106.9328
804530,2,2002-03,38.7967,-104.8106
804800,2,2002-03,39.739,-105.1636
804830,2,2002-03,40.3294,-104.8343
804920,2,2002-03,40.111,-104.5225
805220,2,2002-03,38.0839,-102.6211
805310,2,2002-03,39.6118,-105.0091
805370,2,2002-03,40.1555,-105.107
805400,2,2006-07,40.3838,-105.096
805550,2,2010-11,39.8417,-104.9794
805700,2,2002-03,37.998,-105.9096
805730,2,2004-05,40.5191,-107.5468
805790,2,2002-03,38.4691,-107.8779
805820,2,2002-03,39.0907,-104.8712
805850,2,2002-03,38.2708,-108.5485
806120,2,2002-03,38.2771,-104.6105
806150,2,2002-03,38.2834,-104.58
806480,2,2002-03,38.768,-104.7393
806660,2,2002-03,40.4879,-106.8319
806750,2,2002-03,39.7442,-104.3235
806900,2,2002-03,39.9257,-104.9665
806990,2,2005-06,37.3736,-102.4494
807230,2,2002-03,39.8227,-105.0414
807350,2,2002-03,40.4799,-104.9133
1100008,2,2006-07,38.9112,-77.0061
1100030,2,2009-10,38.9058,-77.0059
1100079,2,2010-11,38.8238,-77.0021
1100087,2,2011-12,38.8998,-77.0183
1200030,2,2002-03,29.6526,-82.319
1200090,2,2002-03,30.1726,-85.676
1200120,2,2004-05,29.9509,-82.112
1200150,2,2002-03,28.2486,-80.7361
1200180,2,2002-03,26.1146,-80.1402
1200240,2,2009-10,27.0053,-82.1453
1200270,2,2002-03,28.8348,-82.343
1200330,2,2002-03,26.2207,-81.7583
1200360,2,2011-12,30.1889,-82.6417
1200390,2,2002-03,25.7889,-80.1907
1200420,2,2011-12,27.2213,-81.8493
1200450,2,2010-11,29.6313,-83.1195
1200480,2,2002-03,30.3167,-81.6505
1200510,2,2002-03,30.413,-87.2417
1200540,2,2004-05,29.4745,-81.2479
1200570,2,2002-03,29.7433,-84.8756
1200600,2,2002-03,30.565,-84.6194
1200660,2,2006-07,26.8392,-81.1041
1200810,2,2003-04,28.566,-82.3773
1200840,2,2003-04,27.5022,-81.4189
1200870,2,2002-03,27.9493,-82.4521
1200930,2,2002-03,27.6445,-80.4052
1200960,2,2002-03,30.7764,-85.2272
1200990,2,2007-08,30.5419,-83.8728
