LEAID,SHYEAR,AGCHRT,LAT,LON
400202,1999-00,1,32.2059,-110.763712
400204,1999-00,1,32.3234,-111.0434
400205,1999-00,1,31.929443,-110.996007
400206,1999-00,1,32.23482,-110.910461
400208,1999-00,1,34.56894,-112.480901
400209,1999-00,1,34.58557,-112.304701
400210,1999-00,1,34.578998,-112.483239
400211,1999-00,1,34.635725,-112.405558
611010,1999-00,1,NA,NA
617160,1999-00,1,37.620337,-120.748694
617760,1999-00,1,38.58317,-122.449671
900023,1999-00,1,41.066887,-73.545866
900024,1999-00,1,41.31359,-72.903741
1000009,1999-00,1,NA,NA
1100001,1999-00,1,38.892042,-76.924626
1100002,1999-00,1,NA,NA
1100003,1999-00,1,38.919895,-77.03111
1100004,1999-00,1,38.926495,-77.027784
1100005,1999-00,1,38.880683,-76.990612
1100006,1999-00,1,NA,NA
1100007,1999-00,1,38.96062,-77.031601
1100008,1999-00,1,38.911151,-77.006122
1100009,1999-00,1,38.93509,-76.990071
1100010,1999-00,1,38.91535,-77.023641
1100011,1999-00,1,38.936139,-76.97971
1100012,1999-00,1,38.964899,-77.009758
1100013,1999-00,1,38.904535,-76.937028
1100014,1999-00,1,38.9166,-77.033581
1100015,1999-00,1,38.91856,-77.030041
1100016,1999-00,1,38.921478,-77.039753
1100017,1999-00,1,38.92774,-77.033371
1100018,1999-00,1,38.895795,-76.986256
1100019,1999-00,1,38.953403,-77.013538
1100020,1999-00,1,38.956822,-77.010514
1100021,1999-00,1,NA,NA
1100022,1999-00,1,38.887059,-76.9462
1100023,1999-00,1,NA,NA
1100024,1999-00,1,NA,NA
1100025,1999-00,1,NA,NA
1100026,1999-00,1,38.9164,-76.9736
1100027,1999-00,1,NA,NA
1700214,1999-00,1,NA,NA
1700218,1999-00,1,42.330932,-88.007256
2200027,1999-00,1,NA,NA
2200028,1999-00,1,NA,NA
2200029,1999-00,1,NA,NA
2200031,1999-00,1,NA,NA
2200032,1999-00,1,29.818251,-91.667815
2500059,1999-00,1,NA,NA
2500060,1999-00,1,42.276588,-71.066843
2500061,1999-00,1,NA,NA
2500062,1999-00,1,42.80767,-70.88627
2500063,1999-00,1,42.327624,-71.105146
2600020,1999-00,1,43.616367,-84.283732
2600066,1999-00,1,NA,NA
2600067,1999-00,1,43.61253,-83.839061
2600068,1999-00,1,41.949873,-84.996889
2600069,1999-00,1,45.191359,-84.969935
2600070,1999-00,1,45.314349,-85.259745
2600071,1999-00,1,46.481408,-84.331882
2600073,1999-00,1,42.4741,-84.6582
2600074,1999-00,1,45.361392,-84.917768
2600075,1999-00,1,NA,NA
2600076,1999-00,1,42.917,-83.6683
2600077,1999-00,1,NA,NA
2600078,1999-00,1,44.693387,-85.432182
2600079,1999-00,1,42.711623,-84.57881
2600080,1999-00,1,42.715258,-84.566713
2600081,1999-00,1,NA,NA
2600082,1999-00,1,42.74642,-84.563381
2600083,1999-00,1,NA,NA
2600086,1999-00,1,NA,NA
2600087,1999-00,1,43.600258,-84.746471
2600088,1999-00,1,42.165911,-84.403817
